BTER/DOGEUSD,DOGE/USD Exchange Rate
BTER/GEMZBTC,GEMZ/BTC Exchange Rate
BTER/CMCBTC,CMC/BTC Exchange Rate
BTER/VTCCNY,VTC/CNY Exchange Rate
BTER/MRKTBTC,MRKT/BTC Exchange Rate
BTER/BQCCNY,BQC/CNY Exchange Rate
BTER/CTCBTC,CTC/BTC Exchange Rate
BTER/NECBTC,NEC/BTC Exchange Rate
BTER/ETHBTC,ETH/BTC Exchange Rate
BTER/WDCCNY,WDC/CNY Exchange Rate
BTER/BITUSDUSD,BITUSD/USD Exchange Rate
BTER/BQCBTC,BQC/BTC Exchange Rate
BTER/FRCCNY,FRC/CNY Exchange Rate
BTER/ACBTC,AC/BTC Exchange Rate
BTER/NETCNY,NET/CNY Exchange Rate
BTER/NFDBTC,NFD/BTC Exchange Rate
BTER/VRCBTC,VRC/BTC Exchange Rate
BTER/BTRXCNY,BTRX/CNY Exchange Rate
BTER/DGCBTC,DGC/BTC Exchange Rate
BTER/BTBBTC,BTB/BTC Exchange Rate
BTER/TOKENBTC,TOKEN/BTC Exchange Rate
BTER/AURBTC,AUR/BTC Exchange Rate
BTER/TOKENCNY,TOKEN/CNY Exchange Rate
BTER/REPBTC,REP/BTC Exchange Rate
BTER/TIXLTC,TIX/LTC Exchange Rate
BTER/IFCLTC,IFC/LTC Exchange Rate
BTER/XMRCNY,XMR/CNY Exchange Rate
BTER/LTCBTC,LTC/BTC Exchange Rate
